image,PSNR,SSIM,NCC,LMSE
be-5-m-22,23.508649240118405,0.8450427139770879,0.9445258,0.0042748456
be-5-m-27,24.029157824565562,0.7838655651404602,0.9398774,0.0066536404
be-5-m-32,23.138306042310855,0.7547851379626374,0.9275301,0.008713567
bh-10-m-3,21.363498185591535,0.8141681227391727,0.9515619,0.0051383316
bh-3-m-32,22.05795809932957,0.8241180777940107,0.95276386,0.0046285843
bh-5-m-11,24.586345284334772,0.9201162564039816,0.9788649,0.003243704
bh-5-m-13,24.810427231726237,0.9139059816973361,0.97982424,0.0032822979
bh-5-m-16,23.28187409750164,0.8804503724275049,0.9743946,0.0037371803
bh-5-m-19,20.87798942095077,0.8412709706515583,0.95840204,0.0046907538
bh-5-m-22,21.300672313238174,0.8306838933259238,0.9559959,0.004735251
bh-5-m-27,21.51052958356372,0.8217072671545727,0.9554111,0.004909892
bh-5-m-32,21.400486660929246,0.8143225422496188,0.95453376,0.005025412
bi-10-m-3,21.636580240267886,0.8231774483700681,0.94389623,0.004856158
bi-3-m-32,21.833165675065217,0.8337151794417381,0.93669444,0.004516564
bi-5-m-11,24.30934760140374,0.9365295052240793,0.97013324,0.0021528911
bi-5-m-13,24.78207754701658,0.9360248279315266,0.9724295,0.0022460138
bi-5-m-16,24.78650552084667,0.9289509137192308,0.9731651,0.0023945076
bi-5-m-19,25.183359027162027,0.9167796003718922,0.97493553,0.0024459325
bi-5-m-22,25.07690608595362,0.8962235033027005,0.97465706,0.0027039903
bi-5-m-27,20.12499939704696,0.7972707859515759,0.922014,0.0069763325
bi-5-m-32,17.116264355959686,0.7405293708199655,0.8842403,0.012087753
